airport_code,station_id,tz
SFO,USW00023234,America/Los_Angeles
LAX,USW00023174,America/Los_Angeles
SEA,USW00024233,America/Los_Angeles
DEN,USW00003017,America/Denver
DFW,USW00003927,America/Chicago
ORD,USW00094846,America/Chicago
ATL,USW00013874,America/New_York
JFK,USW00094789,America/New_York
BOS,USW00014739,America/New_York
MIA,USW00012839,America/New_York
ABQ,USW00023050,America/Denver
ALB,USW00014735,America/New_York
ANC,USW00026451,America/Anchorage
AUS,USW00013904,America/Chicago
BDL,USW00014740,America/New_York
BHM,USW00013876,America/Chicago
BNA,USW00013897,America/Chicago
BOI,USW00024131,America/Boise
BUF,USW00014733,America/New_York
BUR,USW00023152,America/Los_Angeles
BWI,USW00093721,America/New_York
CHS,USW00013880,America/New_York
CLE,USW00014820,America/New_York
CLT,USW00013881,America/New_York
CVG,USW00093814,America/New_York
DAL,USW00013960,America/Chicago
DCA,USW00013743,America/New_York
DSM,USW00014933,America/Chicago
DTW,USW00094847,America/Detroit
ELP,USW00023044,America/Denver
EWR,USW00014734,America/New_York
FAT,USW00093193,America/Los_Angeles
FLL,USW00012849,America/New_York
GEG,USW00024157,America/Los_Angeles
GRR,USW00094860,America/Detroit
GSP,USW00003870,America/New_York
HNL,USW00022521,Pacific/Honolulu
HOU,USW00012918,America/Chicago
IAD,USW00093738,America/New_York
IAH,USW00012960,America/Chicago
IND,USW00093819,America/Indiana/Indianapolis
JAX,USW00013889,America/New_York
LAS,USW00023169,America/Los_Angeles
LGA,USW00014732,America/New_York
LGB,USW00023129,America/Los_Angeles
MCI,USW00003947,America/Chicago
MCO,USW00012815,America/New_York
MDW,USW00014819,America/Chicago
MEM,USW00013893,America/Chicago
MKE,USW00014839,America/Chicago
MSP,USW00014922,America/Chicago
MSY,USW00012916,America/Chicago
OAK,USW00023230,America/Los_Angeles
OKC,USW00013967,America/Chicago
OMA,USW00014942,America/Chicago
ONT,USW00003102,America/Los_Angeles
ORF,USW00013737,America/New_York
PBI,USW00012844,America/New_York
PDX,USW00024229,America/Los_Angeles
PHL,USW00013739,America/New_York
PHX,USW00023183,America/Phoenix
PIT,USW00094823,America/New_York
PVD,USW00014765,America/New_York
RDU,USW00013722,America/New_York
RIC,USW00013740,America/New_York
RNO,USW00023185,America/Los_Angeles
ROC,USW00014768,America/New_York
RSW,USW00012894,America/New_York
SAN,USW00023188,America/Los_Angeles
SAT,USW00012921,America/Chicago
SAV,USW00003822,America/New_York
SDF,USW00093821,America/New_York
SJC,USW00023293,America/Los_Angeles
SLC,USW00024127,America/Denver
SMF,USW00093225,America/Los_Angeles
SNA,USW00093184,America/Los_Angeles
STL,USW00013994,America/Chicago
SYR,USW00014771,America/New_York
TPA,USW00012842,America/New_York
TUL,USW00013968,America/Chicago
TUS,USW00023160,America/Phoenix
